distance,value
6.4161849710982640,1.9531250000000142
7.8034682080924820,5.664062500000014
9.0173410404624230,9.375000000000014
10.491329479768783,13.183593750000014
11.965317919075140,17.48046875
13.352601156069362,21.679687500000014
14.653179190751445,26.07421875
15.780346820809246,30.56640625
16.820809248554912,35.15625
17.774566473988436,39.16015625000001
19.248554913294797,43.16406250000001
19.942196531791904,45.41015625000001
20.375722543352600,49.90234375
20.895953757225435,55.17578125
21.416184971098268,60.44921875000001
22.109826589595370,66.015625
22.543352601156073,69.82421875
23.063583815028900,74.609375
23.323699421965316,77.24609375
24.104046242774565,80.95703125
25.057803468208085,84.765625
26.098265895953750,88.671875
26.791907514450870,91.6015625
27.658959537572258,84.66796875
28.179190751445084,79.39453125
28.786127167630056,74.51171875
29.393063583815028,69.7265625
29.826589595375722,65.52734375
30.693641618497104,59.08203125
31.040462427745660,54.98046875000001
31.907514450867048,50.09765625000001
35.028901734104040,36.5234375
36.156069364161844,32.03125
37.023121387283230,28.125
32.861271676300575,45.89843750000001
33.901734104046240,41.79687500000001
37.890173410404620,24.4140625
39.277456647398840,20.703125
40.578034682080926,16.015625000000014
41.705202312138730,12.20703125
42.572254335260110,9.66796875
43.352601156069370,7.519531250000014
44.999999999999990,5.95703125
47.427745664739880,3.515625
49.682080924855490,1.7578125
52.630057803468210,0.6835937500000142
53.757225433526024,0.5859375
