step	time	CMx	CMy	CMz	quat_0	quat_1	quat_2	quat_3	vel_x	vel_y	vel_z	angvel_x	angvel_y	angvel_z	volume	J0	J1	J2	J3	J4	J5
16	1.0198686e-03	6.5000000e-01	4.9999966e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	1.0018426e-05	6.4320853e-08	-3.9450186e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.3604482e-02	9.2663318e-05	8.8211391e-09	3.1386472e-07	3.0829733e-07	-1.3039747e-11	9.5902965e-13	-1.6292399e-13
17	1.1549852e-03	6.5000000e-01	4.9999960e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	1.1740607e-05	1.4883427e-07	-4.0027817e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4001035e-02	9.2663965e-05	8.8212352e-09	3.1387435e-07	3.0830690e-07	-1.5112106e-11	7.5308484e-13	-1.7890974e-13
18	1.2984941e-03	6.5000000e-01	4.9999954e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	1.3585944e-05	2.2202336e-07	-4.0446919e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4296535e-02	9.2665145e-05	8.8214341e-09	3.1387891e-07	3.0831138e-07	-1.7282697e-11	7.5116866e-13	-1.5265602e-13
19	1.4503953e-03	6.5000000e-01	4.9999947e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	1.5549978e-05	2.4592902e-07	-4.0734842e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4505459e-02	9.2665352e-05	8.8215439e-09	3.1387658e-07	3.0830894e-07	-1.8725055e-11	2.9787085e-13	-1.7352423e-13
20	1.6106889e-03	6.5000000e-01	4.9999940e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	1.7629288e-05	2.3665266e-07	-4.0932299e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4653033e-02	9.2666553e-05	8.8218141e-09	3.1388035e-07	3.0831250e-07	-2.0119117e-11	6.7319814e-14	-1.2813710e-13
21	1.7793748e-03	6.5000000e-01	4.9999933e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	1.9820892e-05	2.5765718e-07	-4.1039605e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4752953e-02	9.2668893e-05	8.8221043e-09	3.1389675e-07	3.0832878e-07	-2.1780880e-11	1.6693461e-13	-1.6860042e-13
22	1.9564531e-03	6.5000000e-01	4.9999925e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	2.2122327e-05	2.9648498e-07	-4.1109769e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4817249e-02	9.2669028e-05	8.8222131e-09	3.1389882e-07	3.0833074e-07	-2.3356075e-11	-1.1210549e-13	-1.8508562e-13
23	2.1419236e-03	6.5000000e-01	4.9999917e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	2.4531855e-05	3.4230014e-07	-4.1132226e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4858061e-02	9.2669001e-05	8.8221394e-09	3.1389825e-07	3.0833035e-07	-2.5426801e-11	6.2376173e-13	-2.1070105e-13
24	2.3357865e-03	6.5000000e-01	4.9999909e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	2.7047894e-05	3.1445564e-07	-4.1120222e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4879836e-02	9.2669461e-05	8.8221620e-09	3.1390386e-07	3.0833596e-07	-2.7523940e-11	4.0828659e-13	-1.6590117e-13
25	2.5380418e-03	6.5000000e-01	4.9999900e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	2.9668704e-05	3.3518237e-07	-4.1068240e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4883362e-02	9.2670243e-05	8.8222802e-09	3.1390152e-07	3.0833362e-07	-2.8745431e-11	3.5822634e-15	-1.3067541e-13
26	2.7486894e-03	6.5000000e-01	4.9999891e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	3.2394321e-05	3.1281231e-07	-4.1021717e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4886948e-02	9.2669423e-05	8.8218558e-09	3.1390599e-07	3.0833850e-07	-3.0786054e-11	8.1933839e-13	-6.7375456e-14
27	2.9677293e-03	6.5000000e-01	4.9999882e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	3.5224495e-05	3.6581647e-07	-4.0981236e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4888061e-02	9.2670412e-05	8.8220764e-09	3.1392542e-07	3.0835763e-07	-3.2954822e-11	3.1896971e-13	-1.0962961e-13
28	3.1951615e-03	6.5000000e-01	4.9999872e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	3.8158223e-05	3.4154342e-07	-4.0934847e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4880591e-02	9.2670600e-05	8.8220711e-09	3.1392727e-07	3.0835948e-07	-3.4629999e-11	-3.0965359e-14	-1.1100907e-13
29	3.4309861e-03	6.5000000e-01	4.9999862e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	4.1196204e-05	3.4946392e-07	-4.0863442e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4879363e-02	9.2670661e-05	8.8220168e-09	3.1393185e-07	3.0836410e-07	-3.7104821e-11	1.7636925e-13	-1.0766573e-13
