step	time	mass	force_x	force_y	force_z	torque_x	torque_y	torque_z
0	0.0000000e+00	6.5442513e-05	5.5122963e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	-4.4667753e-17	-1.4889251e-17
1	2.0000000e-07	6.5442513e-05	3.7931242e-01	-1.2924697e-19	-7.2378304e-19	-1.6773722e-23	-1.0339758e-19	1.0339758e-18
2	1.6984668e-05	6.5442513e-05	8.0363691e-02	-5.1698788e-19	1.4475661e-18	8.7352675e-22	2.4556924e-19	-2.3264455e-19
3	4.8705258e-05	6.5442513e-05	2.3631681e-02	3.3604212e-19	-3.8774091e-19	4.8975484e-22	-7.7548182e-20	-3.2311743e-20
4	9.1942128e-05	6.5442513e-05	7.7924709e-03	-1.0985993e-19	9.0472879e-20	7.4468176e-23	-4.5236440e-20	8.0779357e-21
5	1.4723625e-04	6.5442513e-05	2.9397433e-03	-9.0472879e-20	3.2311743e-20	8.1971791e-23	2.0194839e-20	7.2701421e-21
6	2.1446364e-04	6.5442513e-05	1.3023484e-03	-6.4623485e-21	-1.8740811e-19	-2.8120311e-23	6.0584518e-21	-4.0389678e-21
7	2.9398162e-04	6.5442513e-05	7.0297784e-04	0.0000000e+00	1.2763138e-19	1.2786477e-22	-8.0779357e-22	-1.8175355e-21
8	3.8626502e-04	6.5442513e-05	4.6318209e-04	2.2618220e-20	0.0000000e+00	3.7227210e-22	-3.2311743e-21	2.0194839e-22
9	4.9187725e-04	6.5442513e-05	3.5650791e-04	-2.7464981e-20	4.8467614e-21	5.7133545e-23	-6.0584518e-21	3.0292259e-22
10	6.1144865e-04	6.5442513e-05	3.0266487e-04	9.6935228e-21	4.3620853e-20	8.7748824e-23	6.0584518e-22	-8.0779357e-22
11	7.4566677e-04	6.5442513e-05	2.7400615e-04	2.2618220e-20	-1.2924697e-20	-1.0285928e-22	-2.3224065e-21	2.0194839e-22
