step	time	pos[0]	pos[1]	pos[2]	quat[0]	quat[1]	quat[2]	quat[3]	transVel[0]	transVel[1]	transVel[2]	angVel[0]	angVel[1]	angVel[2]
0	0.0000000000000000e+00	6.4999997615814209e-01	5.0000000000000000e-01	5.0000000000000000e-01	1.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00
1	9.9999999999999995e-07	6.4999997615813787e-01	4.9999999995707567e-01	5.0000000000000000e-01	1.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	4.2959989439486314e-10	-4.1853635733137208e-09	-4.2924304100592097e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	8.5919978878972630e-04
2	2.9899999974752427e-06	6.4999997615812966e-01	4.9999999987046195e-01	5.0000000000000000e-01	1.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.3541708020741504e-09	-4.1394820299921658e-09	-4.3524479222683033e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	9.2921699264249963e-04
3	5.9699999844928973e-06	6.4999997616168459e-01	4.9999999973978937e-01	5.0000000000000000e-01	1.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.8869795793918759e-09	1.1929456553065859e-06	-4.3849863492469069e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.0287307230320306e-03
4	9.9400000747398017e-06	6.4999997616641669e-01	4.9999999955875574e-01	5.0000000000000000e-01	1.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	5.3290429260848186e-09	1.1919743950284253e-06	-4.5600405803951264e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2302586129435478e-03
5	1.4900000381902792e-05	6.4999997617231575e-01	4.9999999932139177e-01	5.0000000000000000e-01	1.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	9.0287279619459003e-09	1.1893213198143882e-06	-4.7855642281600126e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.4918084822020494e-03
6	2.0850000678608196e-05	6.4999997617940486e-01	4.9999999902029701e-01	5.0000000000000000e-01	1.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.4408951594643176e-08	1.1914471305205210e-06	-5.0604158756959048e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.8084785319990840e-03
7	2.7790000510108658e-05	6.4999997618767724e-01	4.9999999864698974e-01	5.0000000000000000e-01	9.9999999999999989e-01	0.0000000000000000e+00	0.0000000000000000e+00	2.1955397490516000e-08	1.1919867235217217e-06	-5.3790674274298137e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1747682697039836e-03
8	3.5719999876404181e-05	6.4999997619714012e-01	4.9999999819215429e-01	5.0000000000000000e-01	9.9999999999999944e-01	0.0000000000000000e+00	0.0000000000000000e+00	3.2202042566595518e-08	1.1932961253226314e-06	-5.7356300126022204e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.5842736635761738e-03
9	4.4640000596484172e-05	6.4999997620779071e-01	4.9999999764584363e-01	5.0000000000000000e-01	9.9999999999999900e-01	0.0000000000000000e+00	0.0000000000000000e+00	4.5718346004009077e-08	1.1940131080578265e-06	-6.1245588315744808e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	3.0305613088371223e-03
