step	time	mass	force_x	force_y	force_z	torque_x	torque_y	torque_z
0	0.0000000e+00	6.5449478e-05	5.4837749e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	9.6676734e-17	8.0650110e-18
1	2.0000000e-07	6.5449478e-05	5.5456025e-01	-8.4010531e-20	-1.6155871e-19	1.1719485e-22	-1.2278462e-18	-1.3312438e-18
2	1.0430851e-05	6.5449478e-05	1.5139908e-01	4.6044233e-19	6.7046866e-19	-4.3969195e-22	-2.1971985e-19	-7.4963243e-19
3	2.6080067e-05	6.5449478e-05	4.5811381e-02	-5.2506582e-20	-2.5526277e-19	-9.3401131e-22	2.4233807e-20	1.6155871e-19
4	4.7112659e-05	6.5449478e-05	1.4815663e-02	-2.0571080e-19	-3.1761456e-19	-1.2254954e-21	-3.2576512e-21	1.4477067e-20
5	7.3743472e-05	6.5449478e-05	5.1665246e-03	-1.2924697e-20	-2.2618220e-20	2.9878107e-22	-2.9686414e-20	1.0804239e-20
6	1.0623201e-04	6.5449478e-05	2.0045324e-03	2.1729647e-19	4.5438388e-20	-1.7670484e-22	-3.1302001e-21	9.3401131e-22
7	1.4486191e-04	6.5449478e-05	9.0822493e-04	2.5240049e-20	8.8405194e-20	5.3011453e-22	6.0141287e-21	4.7829432e-21
8	1.8982928e-04	6.5449478e-05	4.9755513e-04	6.0988414e-20	-1.7771458e-20	-1.4278382e-22	1.5146129e-22	7.5730647e-23
9	2.4121849e-04	6.5449478e-05	3.2506443e-04	3.3927330e-20	1.0097420e-20	6.8137861e-23	-2.5117331e-21	2.5243549e-22
10	2.9926183e-04	6.5449478e-05	2.4191574e-04	1.3732491e-20	4.9275408e-20	-3.4309559e-22	-2.2719194e-22	1.1864468e-21
11	3.6420059e-04	6.5449478e-05	1.9634581e-04	3.6754607e-20	-3.6754607e-20	-1.6319560e-22	2.0447275e-21	6.6895405e-22
12	4.3591224e-04	6.5449478e-05	1.6839579e-04	-1.0905213e-20	-5.8186380e-21	-1.5185572e-22	3.4078791e-22	1.2590220e-21
13	5.1402171e-04	6.5449478e-05	1.4896227e-04	-4.8770537e-20	3.4533175e-20	-3.3677473e-23	1.0980944e-21	-1.1738250e-21
