step	time	pos[0]	pos[1]	pos[2]	quat[0]	quat[1]	quat[2]	quat[3]	transVel[0]	transVel[1]	transVel[2]	angVel[0]	angVel[1]	angVel[2]
0	0.0000000000000000e+00	6.4999997615814209e-01	5.0000000000000000e-01	5.0000000000000000e-01	1.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00
1	9.9999999999999995e-07	6.4999997615814187e-01	4.9999999995518424e-01	5.0000000000000000e-01	1.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	4.1211939858932276e-10	-2.1769964894927080e-10	-4.4815752110046304e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	8.2423879717864550e-04
2	2.9899999974752427e-06	6.4999997615814142e-01	4.9999999986321259e-01	5.0000000000000000e-01	1.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.3325121747075477e-09	-2.1283573217089291e-10	-4.6216922298044285e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	9.2501786544545227e-04
3	5.9699999844928973e-06	6.4999997616263694e-01	4.9999999971989473e-01	5.0000000000000000e-01	1.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.9428074555437745e-09	1.5085675181967183e-06	-4.8093239797196939e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.0807350878095482e-03
4	9.9400000747398017e-06	6.4999997616863059e-01	4.9999999951292723e-01	5.0000000000000000e-01	1.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	5.6632605217426222e-09	1.5097235222871432e-06	-5.2132876745966160e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.3705053230220897e-03
5	1.4900000381902792e-05	6.4999997617612593e-01	4.9999999922828803e-01	5.0000000000000000e-01	1.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	9.9950023960979015e-09	1.5111615820177477e-06	-5.7386930980021429e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.7466701106271288e-03
6	2.0850000678608196e-05	6.4999997618512695e-01	4.9999999884887419e-01	5.0000000000000000e-01	9.9999999999999989e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.6546493331296453e-08	1.5127794193231508e-06	-6.3767026905193962e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.2021818269574956e-03
7	2.7790000510108658e-05	6.4999997619563243e-01	4.9999999835500425e-01	5.0000000000000000e-01	9.9999999999999978e-01	0.0000000000000000e+00	0.0000000000000000e+00	2.6017026744638710e-08	1.5137631206033262e-06	-7.1162820194016106e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.7292603496663565e-03
8	3.5719999876404181e-05	6.4999997620766503e-01	4.9999999772490206e-01	5.0000000000000000e-01	9.9999999999999922e-01	0.0000000000000000e+00	0.0000000000000000e+00	3.9176636143666188e-08	1.5173458365106566e-06	-7.9458031409617011e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	3.3189431018984840e-03
9	4.4640000596484172e-05	6.4999997622121641e-01	4.9999999693517633e-01	5.0000000000000000e-01	9.9999999999999833e-01	0.0000000000000000e+00	0.0000000000000000e+00	5.6847763732781028e-08	1.5192192794950600e-06	-8.8534275131031920e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	3.9621362307432420e-03
10	5.4550000851359217e-05	6.4999997623630090e-01	4.9999999596134831e-01	5.0000000000000000e-01	9.9999999999999678e-01	0.0000000000000000e+00	0.0000000000000000e+00	7.9885796760955493e-08	1.5221512711020971e-06	-9.8267208259183823e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	4.6494516706709404e-03
11	6.5450000641029322e-05	6.4999997625292194e-01	4.9999999477849771e-01	5.0000000000000000e-01	9.9999999999999400e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0915722590754534e-07	1.5248651981035582e-06	-1.0851840316257728e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	5.3709044305669676e-03
12	7.7340003603473302e-05	6.4999997627109640e-01	4.9999999336178613e-01	5.0000000000000000e-01	9.9999999999998956e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.4552706927644449e-07	1.5285478300934495e-06	-1.1915152148423402e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	6.1177196583514538e-03
