step	time	CMx	CMy	CMz	quat_0	quat_1	quat_2	quat_3	vel_x	vel_y	vel_z	angvel_x	angvel_y	angvel_z	volume	J0	J1	J2	J3	J4	J5
0	0.0000000e+00	6.5000000e-01	5.0000000e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00
1	2.0000000e-07	6.5000000e-01	5.0000000e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	9.2399822e-05	8.9686028e-09	3.0941637e-07	3.0389356e-07	-9.3875554e-13	3.9917455e-13	4.3395269e-18
2	2.0398000e-05	6.5000000e-01	5.0000000e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	1.5644010e-08	2.5884297e-09	-4.3528936e-05	0.0000000e+00	0.0000000e+00	0.0000000e+00	7.7838641e-04	9.2399820e-05	8.9686028e-09	3.0941634e-07	3.0389354e-07	-2.2518025e-12	3.9897023e-13	-8.2349269e-17
3	6.0594000e-05	6.5000000e-01	4.9999999e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	9.3227163e-08	-9.0217296e-09	-7.3493533e-05	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.5777703e-03	9.2399814e-05	8.9686027e-09	3.0941627e-07	3.0389347e-07	-3.5865072e-12	3.9833121e-13	-3.6250224e-16
4	1.2078800e-04	6.5000000e-01	4.9999998e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	3.1151353e-07	-2.5832502e-08	-1.1769069e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	5.4440933e-03	9.2399807e-05	8.9686028e-09	3.0941619e-07	3.0389339e-07	-4.9663571e-12	3.9727849e-13	-8.3870825e-16
5	2.0098000e-04	6.5000000e-01	4.9999997e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	7.4678896e-07	-4.3044962e-08	-1.6603497e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	8.6889996e-03	9.2398693e-05	8.9685119e-09	3.0941609e-07	3.0389319e-07	-6.3556832e-12	4.0411550e-13	7.9444084e-15
6	3.0117000e-04	6.5000000e-01	4.9999994e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	1.4565437e-06	-2.6865052e-08	-2.1151663e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	1.1810742e-02	9.2399862e-05	8.9685893e-09	3.0942882e-07	3.0390597e-07	-7.0817154e-12	4.0220310e-13	7.0021431e-15
7	4.2135800e-04	6.5000000e-01	4.9999991e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	2.4757213e-06	-5.4560043e-09	-2.5044474e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	1.4540363e-02	9.2400857e-05	8.9685970e-09	3.0944508e-07	3.0392220e-07	-9.4791714e-12	1.0036316e-12	3.6232441e-14
8	5.6154400e-04	6.5000000e-01	4.9999986e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	3.8204070e-06	1.3825945e-07	-2.8191877e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	1.6789263e-02	9.2401946e-05	8.9687727e-09	3.0944389e-07	3.0392107e-07	-1.2375479e-11	7.9352334e-13	-8.3403398e-14
9	7.2172800e-04	6.5000000e-01	4.9999981e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	5.4932881e-06	3.4819212e-07	-3.0629689e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	1.8568793e-02	9.2400769e-05	8.9686185e-09	3.0943518e-07	3.0391223e-07	-1.6214193e-11	1.1340851e-12	-5.0542730e-15
10	9.0191000e-04	6.5000000e-01	4.9999974e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	7.4889347e-06	3.3343796e-07	-3.2470228e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	1.9938521e-02	9.2396192e-05	8.9680862e-09	3.0941461e-07	3.0389191e-07	-1.8217957e-11	1.6585843e-12	-2.0288781e-14
11	1.1020900e-03	6.5000000e-01	4.9999967e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	9.7977296e-06	4.2360630e-07	-3.3866440e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.0972076e-02	9.2399853e-05	8.9681967e-09	3.0944517e-07	3.0392257e-07	-1.9165508e-11	1.6581873e-12	-2.2375548e-14
12	1.3222680e-03	6.5000000e-01	4.9999958e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	1.2409445e-05	4.2768193e-07	-3.4873979e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.1748344e-02	9.2403127e-05	8.9695448e-09	3.0944963e-07	3.0392570e-07	-2.1616252e-11	1.2732041e-12	2.6818335e-13
13	1.5624440e-03	6.5000000e-01	4.9999949e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	1.5313166e-05	3.1118979e-07	-3.5639023e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.2321378e-02	9.2405639e-05	8.9706810e-09	3.0945430e-07	3.0392919e-07	-2.5251155e-11	1.4891816e-12	9.2035268e-14
14	1.8226180e-03	6.5000000e-01	4.9999939e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	1.8500857e-05	1.7307121e-07	-3.6210288e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.2755247e-02	9.2397755e-05	8.9691839e-09	3.0945710e-07	3.0393276e-07	-2.6676468e-11	1.0983706e-12	1.1758171e-14
15	2.1027900e-03	6.5000000e-01	4.9999928e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	2.1964439e-05	8.3780586e-08	-3.6563475e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.3077465e-02	9.2393304e-05	8.9687938e-09	3.0942491e-07	3.0390077e-07	-2.8868148e-11	3.2094648e-12	1.3849028e-13
16	2.4029600e-03	6.5000000e-01	4.9999916e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	2.5695602e-05	2.4070607e-08	-3.6901983e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.3307537e-02	9.2390579e-05	8.9683134e-09	3.0943946e-07	3.0391520e-07	-3.1313620e-11	4.9256947e-12	-2.2390400e-13
17	2.7231280e-03	6.5000000e-01	4.9999904e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	2.9689440e-05	-1.0190223e-07	-3.7125588e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.3481699e-02	9.2386568e-05	8.9680082e-09	3.0942435e-07	3.0389997e-07	-3.4841922e-11	5.1433595e-12	-1.7129679e-13
18	3.0632940e-03	6.5000000e-01	4.9999890e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	3.3939783e-05	-2.1821898e-07	-3.7160770e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.3602263e-02	9.2378700e-05	8.9666608e-09	3.0937726e-07	3.0385389e-07	-3.9397049e-11	5.1811657e-12	-1.7283403e-13
19	3.4234580e-03	6.5000000e-01	4.9999876e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	3.8450264e-05	-2.8553840e-07	-3.7308989e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.3729259e-02	9.2372455e-05	8.9641078e-09	3.0940258e-07	3.0388121e-07	-4.5372884e-11	5.5963884e-12	-4.0020762e-13
20	3.8036200e-03	6.5000000e-01	4.9999861e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	4.3222298e-05	-6.7534623e-07	-3.7311267e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.3850626e-02	9.2369199e-05	8.9644321e-09	3.0933861e-07	3.0381720e-07	-4.7825711e-11	6.1727090e-12	-5.8724431e-13
21	4.2037800e-03	6.5000000e-01	4.9999845e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	4.8253577e-05	-1.2516336e-06	-3.7342609e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.3949465e-02	9.2371578e-05	8.9648411e-09	3.0935920e-07	3.0383762e-07	-4.9370145e-11	9.4792697e-12	-8.0843228e-13
22	4.6239380e-03	6.5000000e-01	4.9999829e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	5.3537377e-05	-1.4610518e-06	-3.7401278e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4008761e-02	9.2368721e-05	8.9647284e-09	3.0928900e-07	3.0376776e-07	-5.5344103e-11	8.7974647e-12	-7.3208061e-13
23	5.0640940e-03	6.5000000e-01	4.9999812e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	5.9083559e-05	-1.5765453e-06	-3.7379743e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4105765e-02	9.2366400e-05	8.9627846e-09	3.0931963e-07	3.0380039e-07	-6.1551719e-11	8.7645881e-12	-6.6346503e-13
24	5.5242480e-03	6.5000000e-01	4.9999794e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	6.4900631e-05	-1.8989536e-06	-3.7364468e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4230125e-02	9.2365224e-05	8.9626339e-09	3.0933225e-07	3.0381304e-07	-6.4509640e-11	8.7860312e-12	-6.6325761e-13
25	6.0044000e-03	6.5000000e-01	4.9999775e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	7.0984757e-05	-2.6546790e-06	-3.7399710e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4329207e-02	9.2380046e-05	8.9658093e-09	3.0938810e-07	3.0386644e-07	-6.5015850e-11	9.0453031e-12	-4.0808112e-13
26	6.5045500e-03	6.4999999e-01	4.9999756e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	7.7343798e-05	-3.2153344e-06	-3.7368465e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4450889e-02	9.2391839e-05	8.9678017e-09	3.0944002e-07	3.0391760e-07	-6.8792317e-11	8.8841460e-12	-5.0717774e-13
27	7.0246980e-03	6.4999999e-01	4.9999735e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	8.3980796e-05	-3.5999191e-06	-3.7345150e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4574831e-02	9.2400079e-05	8.9688603e-09	3.0951410e-07	3.0399126e-07	-7.2991821e-11	9.5970121e-12	-3.8130270e-13
28	7.5648440e-03	6.4999999e-01	4.9999715e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	9.0903037e-05	-4.1057907e-06	-3.7250683e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4715933e-02	9.2406527e-05	8.9702233e-09	3.0952519e-07	3.0400169e-07	-7.8468334e-11	1.0376917e-11	-5.7168021e-13
29	8.1249880e-03	6.4999999e-01	4.9999693e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	9.8121737e-05	-4.7608315e-06	-3.7268303e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4885976e-02	9.2417173e-05	8.9709572e-09	3.0960022e-07	3.0407752e-07	-8.4694322e-11	9.2826697e-12	-6.1185583e-13
30	8.7051300e-03	6.4999998e-01	4.9999671e-01	5.0000000e-01	9.9999999e-01	0.0000000e+00	0.0000000e+00	1.0564305e-04	-5.4778223e-06	-3.7192751e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.5065185e-02	9.2423038e-05	8.9716385e-09	3.0965575e-07	3.0413281e-07	-9.0847030e-11	9.3099717e-12	-5.3989750e-13
31	9.3052700e-03	6.4999998e-01	4.9999648e-01	5.0000000e-01	9.9999999e-01	0.0000000e+00	0.0000000e+00	1.1346068e-04	-5.8055215e-06	-3.7209966e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.5212561e-02	9.2424465e-05	8.9703704e-09	3.0978243e-07	3.0426035e-07	-9.6863252e-11	9.8775572e-12	-5.0031443e-13
32	9.9254080e-03	6.4999998e-01	4.9999624e-01	5.0000000e-01	9.9999999e-01	0.0000000e+00	0.0000000e+00	1.2158299e-04	-6.5657496e-06	-3.7059845e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.5376829e-02	9.2430415e-05	8.9717752e-09	3.0982862e-07	3.0430535e-07	-1.0176939e-10	8.1348907e-12	-3.0733803e-13
33	1.0565544e-02	6.4999997e-01	4.9999599e-01	5.0000000e-01	9.9999999e-01	0.0000000e+00	0.0000000e+00	1.3002699e-04	-7.3775737e-06	-3.7156016e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.5582672e-02	9.2423227e-05	8.9710514e-09	3.0988286e-07	3.0435904e-07	-1.0568330e-10	4.8697060e-12	-2.2132267e-13
34	1.1225678e-02	6.4999997e-01	4.9999574e-01	5.0000000e-01	9.9999999e-01	0.0000000e+00	0.0000000e+00	1.3881337e-04	-7.8698711e-06	-3.7009435e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.5837302e-02	9.2416524e-05	8.9691417e-09	3.0990779e-07	3.0438583e-07	-1.1430416e-10	6.4641146e-12	5.4122040e-13
