step	time	pos[0]	pos[1]	pos[2]	quat[0]	quat[1]	quat[2]	quat[3]	transVel[0]	transVel[1]	transVel[2]	angVel[0]	angVel[1]	angVel[2]
25	3.2200001069553194e-04	6.4999997663377884e-01	4.9999993106200241e-01	5.0000000000000000e-01	9.9999999999831946e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.8333327535973965e-06	1.5106534982041782e-06	-3.1495919621289908e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.7489277100428691e-02
26	3.4775000714510679e-04	6.4999997667249299e-01	4.9999992270405275e-01	5.0000000000000000e-01	9.9999999999786671e-01	0.0000000000000000e+00	0.0000000000000000e+00	2.0656265486720541e-06	1.5034600912212533e-06	-3.2458056986084638e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.8042236510687322e-02
27	3.7448999949149785e-04	6.4999997671271270e-01	4.9999991378572933e-01	5.0000000000000000e-01	9.9999999999732347e-01	0.0000000000000000e+00	0.0000000000000000e+00	2.3136581162590655e-06	1.5041043262109107e-06	-3.3351994752523867e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.8551351352850194e-02
28	4.0221998773470522e-04	6.4999997675439514e-01	4.9999990430767038e-01	5.0000000000000000e-01	9.9999999999667877e-01	0.0000000000000000e+00	0.0000000000000000e+00	2.5773166354056896e-06	1.5031543352542061e-06	-3.4179801507422982e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.9016121106917635e-02
29	4.3094000097855924e-04	6.4999997679764865e-01	4.9999989427321839e-01	5.0000000000000000e-01	9.9999999999592049e-01	0.0000000000000000e+00	0.0000000000000000e+00	2.8564585771982956e-06	1.5060421698960544e-06	-3.4938899661238714e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.9438853885350743e-02
30	4.6065001011922957e-04	6.4999997684230126e-01	4.9999988368595111e-01	5.0000000000000000e-01	9.9999999999503597e-01	0.0000000000000000e+00	0.0000000000000000e+00	3.1508939908766700e-06	1.5029477022682440e-06	-3.5635366119220120e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.9820626972716547e-02
31	4.9135001515671615e-04	6.4999997688830302e-01	4.9999987255136563e-01	5.0000000000000000e-01	9.9999999999401301e-01	0.0000000000000000e+00	0.0000000000000000e+00	3.4603869636673071e-06	1.4984284132878470e-06	-3.6269008025551267e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.0162408650966034e-02
32	5.2304001609101893e-04	6.4999997693560030e-01	4.9999986087543391e-01	5.0000000000000000e-01	9.9999999999283817e-01	0.0000000000000000e+00	0.0000000000000000e+00	3.7847004571685225e-06	1.4924971672543995e-06	-3.6844215015467983e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.0467875891659489e-02
33	5.5572001292213797e-04	6.4999997698449474e-01	4.9999984866529329e-01	5.0000000000000000e-01	9.9999999999149825e-01	0.0000000000000000e+00	0.0000000000000000e+00	4.1235469409216769e-06	1.4961596549603769e-06	-3.7362731436869142e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.0737238907944041e-02
34	5.8939000565007326e-04	6.4999997703486001e-01	4.9999983592896363e-01	5.0000000000000000e-01	9.9999999998997990e-01	0.0000000000000000e+00	0.0000000000000000e+00	4.4766362719816600e-06	1.4958501697988477e-06	-3.7826936950613823e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.0973527238684293e-02
35	6.2404999427482491e-04	6.4999997708631385e-01	4.9999982267437038e-01	5.0000000000000000e-01	9.9999999998826949e-01	0.0000000000000000e+00	0.0000000000000000e+00	4.8436705871226047e-06	1.4845297884540056e-06	-3.8241757873586887e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1179129552506167e-02
36	6.5969997879639271e-04	6.4999997713879110e-01	4.9999980890935974e-01	5.0000000000000000e-01	9.9999999998635336e-01	0.0000000000000000e+00	0.0000000000000000e+00	5.2243207951248343e-06	1.4720111628631360e-06	-3.8611530466216179e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1354850379077368e-02
37	6.9633995921477676e-04	6.4999997719269476e-01	4.9999979464347072e-01	5.0000000000000000e-01	9.9999999998421740e-01	0.0000000000000000e+00	0.0000000000000000e+00	5.6183010788276384e-06	1.4711709708647990e-06	-3.8935286668525604e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1505474001560960e-02
38	7.3396993552997706e-04	6.4999997724816116e-01	4.9999977988359756e-01	5.0000000000000000e-01	9.9999999998184796e-01	0.0000000000000000e+00	0.0000000000000000e+00	6.0252921318429961e-06	1.4739933482971114e-06	-3.9223686334180925e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1631201329910064e-02
39	7.7258990774199373e-04	6.4999997730541192e-01	4.9999976463898660e-01	5.0000000000000000e-01	9.9999999997923106e-01	0.0000000000000000e+00	0.0000000000000000e+00	6.4449847573842783e-06	1.4824125144233698e-06	-3.9473358215154748e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1734470510069628e-02
40	8.1219993405848745e-04	6.4999997736418746e-01	4.9999974891772686e-01	5.0000000000000000e-01	9.9999999997635280e-01	0.0000000000000000e+00	0.0000000000000000e+00	6.8770947121860924e-06	1.4838560090910690e-06	-3.9690128049979376e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1818225438596461e-02
41	8.5279995627179743e-04	6.4999997742437043e-01	4.9999973272651482e-01	5.0000000000000000e-01	9.9999999997319933e-01	0.0000000000000000e+00	0.0000000000000000e+00	7.3213013626004025e-06	1.4823390623416516e-06	-3.9879832617001137e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1882101006182611e-02
42	8.9438997438192366e-04	6.4999997748600069e-01	4.9999971607510479e-01	5.0000000000000000e-01	9.9999999996975641e-01	0.0000000000000000e+00	0.0000000000000000e+00	7.7773597557944840e-06	1.4818538737068973e-06	-4.0037052265165258e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1931156201350319e-02
43	9.3696998838886615e-04	6.4999997754889727e-01	4.9999969896948032e-01	5.0000000000000000e-01	9.9999999996601019e-01	0.0000000000000000e+00	0.0000000000000000e+00	8.2449953606286525e-06	1.4771400509510304e-06	-4.0172908547848982e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1965035455574416e-02
44	9.8053999829262489e-04	6.4999997761287120e-01	4.9999968141603063e-01	5.0000000000000000e-01	9.9999999996194633e-01	0.0000000000000000e+00	0.0000000000000000e+00	8.7239666998019804e-06	1.4683017135324262e-06	-4.0287926824036512e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1986290529748567e-02
45	1.0250999458855390e-03	6.4999997767799222e-01	4.9999966342494701e-01	5.0000000000000000e-01	9.9999999995755096e-01	0.0000000000000000e+00	0.0000000000000000e+00	9.2140293622329686e-06	1.4614228413872995e-06	-4.0374963265745367e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1995631169241615e-02
46	1.0706498893752695e-03	6.4999997774439233e-01	4.9999964499825439e-01	5.0000000000000000e-01	9.9999999995280986e-01	0.0000000000000000e+00	0.0000000000000000e+00	9.7149661241483262e-06	1.4577417163889509e-06	-4.0453770816719346e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1995027966533416e-02
47	1.1171899451771379e-03	6.4999997781241337e-01	4.9999962614680432e-01	5.0000000000000000e-01	9.9999999994770861e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0226577155237414e-05	1.4615597602989459e-06	-4.0505909059302607e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1985862961518096e-02
48	1.1647199968758226e-03	6.4999997788161079e-01	4.9999960687408251e-01	5.0000000000000000e-01	9.9999999994223299e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0748672630887416e-05	1.4558686115219488e-06	-4.0548541540159417e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1969092180884560e-02
49	1.2132400444713235e-03	6.4999997795207642e-01	4.9999958718451093e-01	5.0000000000000000e-01	9.9999999993636868e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.1281077205903965e-05	1.4523009268575470e-06	-4.0580320686877985e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1945778031692124e-02
50	1.2627500879636407e-03	6.4999997802385023e-01	4.9999956708468379e-01	5.0000000000000000e-01	9.9999999993010091e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.1823629012795235e-05	1.4496823107382539e-06	-4.0597509886143172e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1916857480407174e-02
51	1.3132501273527741e-03	6.4999997809710330e-01	4.9999954657921897e-01	5.0000000000000000e-01	9.9999999992341537e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.2376169800474835e-05	1.4505549503818566e-06	-4.0604880800970217e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1882803474061543e-02
52	1.3647401626387238e-03	6.4999997817236965e-01	4.9999952567327444e-01	5.0000000000000000e-01	9.9999999991629596e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.2938630968525912e-05	1.4617673866467319e-06	-4.0601950898750398e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1847394371572824e-02
53	1.4172201938214897e-03	6.4999997824900990e-01	4.9999950437014135e-01	5.0000000000000000e-01	9.9999999990872801e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.3510889870145418e-05	1.4603709506226104e-06	-4.0592860292716171e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1808647167284874e-02
54	1.4706902209010719e-03	6.4999997832689249e-01	4.9999948267234501e-01	5.0000000000000000e-01	9.9999999990069599e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.4092832636891370e-05	1.4565662687671294e-06	-4.0579383447416972e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1767075623766133e-02
55	1.5251502438774706e-03	6.4999997840581725e-01	4.9999946058267186e-01	5.0000000000000000e-01	9.9999999989218424e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.4684397885231563e-05	1.4492248870574121e-06	-4.0561280126008700e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1724761233985968e-02
56	1.5806002627506853e-03	6.4999997848543067e-01	4.9999943810541297e-01	5.0000000000000000e-01	9.9999999988317700e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.5285493257223064e-05	1.4357698481087020e-06	-4.0536084508834290e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1680626584634582e-02
57	1.6370402775207162e-03	6.4999997856662961e-01	4.9999941524378938e-01	5.0000000000000000e-01	9.9999999987365740e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.5896081560035606e-05	1.4386774165662804e-06	-4.0506065908423272e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1636722285143874e-02
58	1.6944702881875634e-03	6.4999997864906323e-01	4.9999939200059718e-01	5.0000000000000000e-01	9.9999999986360910e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.6516108540483417e-05	1.4353747408796650e-06	-4.0472213520230572e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1592442295986187e-02
59	1.7528902947512269e-03	6.4999997873250415e-01	4.9999936837714443e-01	5.0000000000000000e-01	9.9999999985301569e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.7145518674871525e-05	1.4282940763029020e-06	-4.0437269349587310e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1547762221063572e-02
60	1.8123002972117066e-03	6.4999997881723981e-01	4.9999934437811172e-01	5.0000000000000000e-01	9.9999999984185939e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.7784298387746519e-05	1.4262868318835504e-06	-4.0395611343657493e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1504114222266536e-02
61	1.8727002955690026e-03	6.4999997890291172e-01	4.9999932000069708e-01	5.0000000000000000e-01	9.9999999983012289e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.8432420329200447e-05	1.4184084371643367e-06	-4.0359958036606373e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1460991442390911e-02
62	1.9340902898231148e-03	6.4999997899012185e-01	4.9999929525143055e-01	5.0000000000000000e-01	9.9999999981778820e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.9089881947631154e-05	1.4205914220006175e-06	-4.0314817633242374e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1419176365741109e-02
63	1.9964702799740433e-03	6.4999997907882101e-01	4.9999927013282658e-01	5.0000000000000000e-01	9.9999999980483834e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.9756602318397498e-05	1.4219169800759605e-06	-4.0267079142812930e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1376093968968300e-02
64	2.0598403824371100e-03	6.4999997916864261e-01	4.9999924464588658e-01	5.0000000000000000e-01	9.9999999979125354e-01	0.0000000000000000e+00	0.0000000000000000e+00	2.0432644533803069e-05	1.4174143818674815e-06	-4.0219252002180069e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1336348920374736e-02
65	2.1242003643816708e-03	6.4999997925951514e-01	4.9999921879159365e-01	5.0000000000000000e-01	9.9999999977701493e-01	0.0000000000000000e+00	0.0000000000000000e+00	2.1118002962650721e-05	1.4119407939866793e-06	-4.0171368765245185e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1297651615772854e-02
66	2.1895503422230483e-03	6.4999997935101594e-01	4.9999919257209163e-01	5.0000000000000000e-01	9.9999999976210341e-01	0.0000000000000000e+00	0.0000000000000000e+00	2.1812687414979869e-05	1.4001651614902812e-06	-4.0121655711433549e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1260427008085610e-02
67	2.2558903159612415e-03	6.4999997944346399e-01	4.9999916599292599e-01	5.0000000000000000e-01	9.9999999974649778e-01	0.0000000000000000e+00	0.0000000000000000e+00	2.2516766418219876e-05	1.3935485208877654e-06	-4.0065067310238363e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1226379361259283e-02
68	2.3232202855962515e-03	6.4999997953664845e-01	4.9999913905067916e-01	5.0000000000000000e-01	9.9999999973017728e-01	0.0000000000000000e+00	0.0000000000000000e+00	2.3230272492771263e-05	1.3839959578484454e-06	-4.0015218807364105e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1194298967415943e-02
69	2.3915402511280777e-03	6.4999997963048006e-01	4.9999911174634459e-01	5.0000000000000000e-01	9.9999999971312203e-01	0.0000000000000000e+00	0.0000000000000000e+00	2.3953203211012334e-05	1.3734142107077794e-06	-3.9965360912419626e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1163077237771371e-02
70	2.4608502125567197e-03	6.4999997972485701e-01	4.9999908408430382e-01	5.0000000000000000e-01	9.9999999969531062e-01	0.0000000000000000e+00	0.0000000000000000e+00	2.4685599147923473e-05	1.3616640556974422e-06	-3.9910605610326600e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1133918255020510e-02
71	2.5311501698821784e-03	6.4999997981984547e-01	4.9999905606491507e-01	5.0000000000000000e-01	9.9999999967672304e-01	0.0000000000000000e+00	0.0000000000000000e+00	2.5427428970416645e-05	1.3511871597551675e-06	-3.9856883009625272e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1104689124496697e-02
72	2.6024401231044530e-03	6.4999997991601566e-01	4.9999902769107613e-01	5.0000000000000000e-01	9.9999999965733599e-01	0.0000000000000000e+00	0.0000000000000000e+00	2.6178776466170500e-05	1.3490001101784335e-06	-3.9800587678855500e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1078622415598141e-02
73	2.6747200722235442e-03	6.4999998001213621e-01	4.9999899896331956e-01	5.0000000000000000e-01	9.9999999963712727e-01	0.0000000000000000e+00	0.0000000000000000e+00	2.6939665399406026e-05	1.3298358258157465e-06	-3.9745097650731212e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1053927324402574e-02
74	2.7479900172394513e-03	6.4999998010780213e-01	4.9999896987860193e-01	5.0000000000000000e-01	9.9999999961607344e-01	0.0000000000000000e+00	0.0000000000000000e+00	2.7710164121122356e-05	1.3056625414442557e-06	-3.9695260869385146e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1031765306510072e-02
75	2.8222499581521750e-03	6.4999998020319116e-01	4.9999894044259086e-01	5.0000000000000000e-01	9.9999999959415076e-01	0.0000000000000000e+00	0.0000000000000000e+00	2.8490326906608229e-05	1.2845274336023715e-06	-3.9639120792486597e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1011655959975908e-02
76	2.8974998949617145e-03	6.4999998029759376e-01	4.9999891064675428e-01	5.0000000000000000e-01	9.9999999957133379e-01	0.0000000000000000e+00	0.0000000000000000e+00	2.9280244210067774e-05	1.2545198059371236e-06	-3.9595796149959636e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.0994479834926281e-02
77	2.9737398276680708e-03	6.4999998039231144e-01	4.9999888049726987e-01	5.0000000000000000e-01	9.9999999954759622e-01	0.0000000000000000e+00	0.0000000000000000e+00	3.0080020262242832e-05	1.2423613193673708e-06	-3.9545493737919255e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.0980484064201155e-02
78	3.0509697562712433e-03	6.4999998048576113e-01	4.9999884999881361e-01	5.0000000000000000e-01	9.9999999952291652e-01	0.0000000000000000e+00	0.0000000000000000e+00	3.0889592668405640e-05	1.2100177251696068e-06	-3.9490426370109499e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.0965231297138717e-02
79	3.1291896807712316e-03	6.4999998057875263e-01	4.9999881915054900e-01	5.0000000000000000e-01	9.9999999949726759e-01	0.0000000000000000e+00	0.0000000000000000e+00	3.1709066378045771e-05	1.1888454059203733e-06	-3.9437822335939855e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.0953048070609902e-02
