step	time	mass	force_x	force_y	force_z	torque_x	torque_y	torque_z
41	2.2064436e-04	3.1146248e-04	1.0817106e-02	1.0429069e-07	-5.1512996e-18	-2.2375608e-20	4.5570917e-20	-9.2664446e-10
42	2.3142038e-04	3.1146248e-04	1.0617880e-02	7.3908379e-08	-1.7610910e-18	1.0655933e-20	-3.2428494e-19	5.5296126e-10
43	2.4245873e-04	3.1146248e-04	1.0429725e-02	4.8499118e-08	-2.8244502e-18	2.6139153e-21	7.4645174e-20	1.6925698e-09
44	2.5376121e-04	3.1146248e-04	1.0251403e-02	2.7629270e-08	-9.6127434e-19	1.7267241e-21	-2.9760251e-19	2.5603316e-09
45	2.6532969e-04	3.1146248e-04	1.0081847e-02	1.0482521e-08	1.6600158e-19	4.1493221e-21	-4.3368417e-20	3.2157336e-09
46	2.7716612e-04	3.1146248e-04	9.9201309e-03	-3.5755160e-09	-9.3724249e-19	-3.8212422e-21	-3.2530730e-19	3.6991667e-09
47	2.8927254e-04	3.1146248e-04	9.7654525e-03	-1.4702415e-08	-5.3475934e-19	1.4675179e-20	-5.0941482e-20	4.0395486e-09
48	3.0165108e-04	3.1146248e-04	9.6171128e-03	-2.3536913e-08	-4.5438388e-19	-6.9339641e-22	-1.6642441e-19	4.2609080e-09
49	3.1430392e-04	3.1146248e-04	9.4745020e-03	-3.0356734e-08	-8.1264033e-19	-1.1212444e-20	6.0156008e-19	4.3932159e-09
50	3.2723334e-04	3.1146248e-04	9.3370877e-03	-3.5677137e-08	2.1481250e-18	5.3068645e-21	-3.2674934e-19	4.4652677e-09
51	3.4044165e-04	3.1146248e-04	9.2044027e-03	-3.9698256e-08	-1.5235996e-18	-1.2072727e-20	3.9363528e-19	4.4959772e-09
52	3.5393126e-04	3.1146248e-04	9.0760381e-03	-4.2500879e-08	7.9204159e-19	-4.3608231e-21	-1.1238428e-19	4.4953979e-09
53	3.6770460e-04	3.1146248e-04	8.9516344e-03	-4.4277465e-08	1.0792686e-18	7.9770231e-21	6.0072744e-20	4.4705832e-09
54	3.8176418e-04	3.1146248e-04	8.8308757e-03	-4.5316557e-08	4.2115075e-19	4.2082293e-21	-4.3352571e-19	4.4290916e-09
55	3.9611254e-04	3.1146248e-04	8.7134848e-03	-4.5743191e-08	-7.7790520e-19	2.5894359e-21	-2.7591199e-19	4.3733905e-09
56	4.1075227e-04	3.1146248e-04	8.5992170e-03	-4.5730839e-08	2.0238880e-19	-8.1532457e-21	6.8235717e-19	4.3094256e-09
