# Something went kaputet when restarted, but steady state still fine
step	time	mass	force_x	force_y	force_z	torque_x	torque_y	torque_z
2189	1.0197637e+00	5.2359877e-04	3.0038530e-04	-1.4035413e-20	5.0890995e-20	-4.2992919e-23	-2.6442618e-21	1.7670484e-21
2190	1.0202405e+00	5.2359877e-04	2.9685985e-04	1.5398565e-20	6.1392311e-20	-1.4051585e-22	2.1457017e-21	-2.7862567e-21
2191	1.0207173e+00	5.2359877e-04	2.9346482e-04	5.9574776e-20	-2.5874638e-21	1.9327092e-23	-8.3698142e-21	1.0072176e-20
2192	1.0211942e+00	5.2359877e-04	2.9019234e-04	1.3833465e-20	-5.9120392e-20	7.0997481e-24	-6.7147840e-21	4.8688495e-21
2193	1.0216710e+00	5.2359877e-04	2.8703519e-04	-3.5621803e-20	4.5261683e-20	-3.9443045e-25	-6.6516752e-21	1.2243121e-21
2194	1.0221479e+00	5.2359877e-04	2.8398675e-04	-5.6040679e-20	3.5038046e-20	3.8062539e-23	1.3173977e-21	-6.6895405e-22
2195	1.0226247e+00	5.2359877e-04	2.8104090e-04	1.3934439e-20	-1.0097420e-20	6.7053177e-24	7.4152925e-22	-2.0249566e-21
2196	1.0231015e+00	5.2359877e-04	2.7819202e-04	-4.8063717e-20	3.9783833e-20	-4.2647793e-23	8.6459155e-21	2.4738678e-21
2197	1.0235784e+00	5.2359877e-04	2.7543489e-04	-9.2391389e-21	1.0476073e-20	3.5301526e-23	-5.7997054e-21	3.8527967e-21
2198	1.0240552e+00	5.2359877e-04	2.7276469e-04	6.1019180e-20	-6.4875921e-21	1.7083769e-23	-4.8862044e-21	-1.6502970e-21
2199	1.0245320e+00	5.2359877e-04	2.7017695e-04	7.9971563e-20	1.5953923e-20	6.9025329e-24	1.4388823e-21	-1.4010170e-21
2200	1.0250089e+00	5.2359877e-04	2.6766752e-04	-3.6350711e-20	-8.0956062e-20	2.5539372e-23	7.7623913e-22	3.3826356e-21
2201	1.0254857e+00	5.2359877e-04	2.6523252e-04	2.8373749e-20	1.9235584e-20	-7.7012546e-23	4.2539324e-22	3.2311743e-21
2202	1.0259626e+00	5.2359877e-04	2.6286835e-04	-5.0496564e-20	-7.8255002e-22	6.6658746e-23	-7.0681937e-22	-9.9080930e-22
2203	1.0264394e+00	5.2359877e-04	2.6057164e-04	-3.3321485e-20	-3.1402975e-20	-4.5606021e-24	6.6895405e-22	-5.3705650e-21
2204	1.0269162e+00	5.2359877e-04	2.5833926e-04	5.4324117e-20	-3.8480635e-20	-3.2934943e-23	6.9545977e-21	-1.8932662e-22
2205	1.0273931e+00	5.2359877e-04	2.5616826e-04	1.6004410e-20	-1.9847740e-21	-7.1391912e-23	1.8932662e-22	2.5559093e-22
2206	1.0278699e+00	5.2359877e-04	2.5405588e-04	-5.3106116e-21	1.4237362e-20	-4.3387350e-24	-4.2022620e-21	-1.1375374e-21
2207	1.0283467e+00	5.2359877e-04	2.5199954e-04	-5.2658043e-20	6.2604001e-21	-1.7244006e-23	6.3108872e-23	-2.0510384e-23
2208	1.0288236e+00	5.2359877e-04	2.4999681e-04	1.4666502e-20	7.8759873e-21	-3.0173930e-23	-1.9437533e-21	2.0865371e-21
2209	1.0293004e+00	5.2359877e-04	2.4804541e-04	5.8161137e-20	-3.4735123e-20	4.5655325e-23	5.2064820e-21	8.8983510e-22
2210	1.0297773e+00	5.2359877e-04	2.4614318e-04	-1.4388823e-21	-1.7821946e-20	7.8886091e-24	1.3694625e-21	5.8691251e-22
2211	1.0302541e+00	5.2359877e-04	2.4428811e-04	-8.0022050e-20	-2.0131730e-20	-3.4709880e-23	2.9093190e-21	1.8617117e-22
2212	1.0307309e+00	5.2359877e-04	2.4247828e-04	1.9942404e-20	-4.1399420e-20	2.2285321e-23	-2.4770232e-21	-3.3321485e-21
2213	1.0312078e+00	5.2359877e-04	2.4071189e-04	5.9322340e-20	4.1904291e-21	-4.0024255e-23	-3.5901060e-21	2.3586941e-21
2214	1.0316846e+00	5.2359877e-04	2.3898723e-04	-4.4188832e-20	-3.7385696e-20	-4.2351970e-23	4.1651856e-21	6.5885663e-21
2215	1.0321614e+00	5.2359877e-04	2.3730269e-04	2.4435755e-20	-3.0039823e-20	8.7267738e-23	5.2475027e-21	2.3728936e-21
2216	1.0326383e+00	5.2359877e-04	2.3565675e-04	6.2856437e-20	3.3069049e-20	-2.2285321e-23	1.0097420e-21	-3.1554436e-22
2217	1.0331151e+00	5.2359877e-04	2.3404797e-04	-3.4400646e-20	5.9776724e-20	-6.9025329e-23	-2.1457017e-22	6.6264316e-21
2218	1.0335919e+00	5.2359877e-04	2.3247496e-04	-3.7865323e-21	-2.7515468e-21	8.5492801e-23	2.7957230e-21	3.2437960e-21
2219	1.0340688e+00	5.2359877e-04	2.3093643e-04	8.7847550e-21	-1.0375099e-20	-1.4002281e-23	5.8438816e-21	-3.8780402e-21
2220	1.0345456e+00	5.2359877e-04	2.2943115e-04	-4.1197472e-20	-1.0703265e-20	-6.6313620e-24	5.0108445e-21	-4.0709167e-21
2221	1.0350225e+00	5.2359877e-04	2.2795793e-04	1.5146129e-22	2.2870655e-20	1.7847978e-23	-1.1738250e-21	-2.4628237e-21
2222	1.0354993e+00	5.2359877e-04	2.2651567e-04	2.0144352e-20	3.8218733e-20	-4.3880388e-24	4.7962743e-21	3.7865323e-22
2223	1.0359761e+00	5.2359877e-04	2.2510329e-04	4.5337414e-20	4.8164691e-20	8.4556028e-23	1.6439861e-21	-8.8983510e-22
2224	1.0364530e+00	5.2359877e-04	2.2371980e-04	-3.8572143e-20	-5.3238645e-20	-4.2105451e-23	-5.5305066e-21	-1.1864468e-21
2225	1.0369298e+00	5.2359877e-04	2.2236421e-04	-6.8864402e-20	2.8272775e-21	1.1832914e-24	-7.0681937e-21	8.7563560e-22
2226	1.0374066e+00	5.2359877e-04	2.2103561e-04	-1.8856931e-20	-2.6455239e-20	5.6600770e-23	-4.3608231e-21	1.7670484e-22
2227	1.0378835e+00	5.2359877e-04	2.1973312e-04	3.3611785e-20	2.9282517e-21	-4.3190135e-23	-4.3923775e-21	-2.8146557e-21
2228	1.0383603e+00	5.2359877e-04	2.1845590e-04	5.0184175e-20	-1.0893854e-19	2.1890890e-23	6.0205864e-21	-2.5495984e-21
2229	1.0388372e+00	5.2359877e-04	2.1720315e-04	2.2719194e-21	-3.0999078e-20	8.9732928e-24	-3.0166041e-21	1.2747992e-21
2230	1.0393140e+00	5.2359877e-04	2.1597411e-04	-2.1759939e-20	3.9089636e-20	-6.9370456e-23	1.0220482e-20	2.5369767e-21
2231	1.0397908e+00	5.2359877e-04	2.1476803e-04	2.7313520e-20	-2.5798907e-20	6.0988809e-23	8.8983510e-22	4.4333983e-21
2232	1.0402677e+00	5.2359877e-04	2.1358422e-04	-4.3115982e-20	-6.5633227e-21	-3.5498741e-24	-2.0983700e-21	-2.5243549e-21
2233	1.0407445e+00	5.2359877e-04	2.1242201e-04	-2.7162059e-20	-1.3328594e-20	-4.1809628e-23	-1.2337785e-21	5.3768759e-21
2234	1.0412213e+00	5.2359877e-04	2.1128075e-04	-4.8032163e-20	5.0689046e-20	9.3677232e-23	-1.1422706e-21	-3.9050587e-21
2235	1.0416982e+00	5.2359877e-04	2.1015982e-04	-3.5038046e-20	1.5852949e-20	-5.2508554e-24	1.5911324e-21	2.0194839e-22
2236	1.0421750e+00	5.2359877e-04	2.0905864e-04	4.7104462e-20	-1.3151889e-20	5.6600770e-23	9.1192321e-22	-3.3510811e-21
2237	1.0426519e+00	5.2359877e-04	2.0797662e-04	1.3126645e-21	-5.2380364e-20	6.9851168e-23	-2.7136815e-22	3.0860239e-21
2238	1.0431287e+00	5.2359877e-04	2.0691323e-04	3.0317502e-20	1.4338336e-20	2.8990638e-23	2.1867224e-21	6.9419760e-23
2239	1.0436055e+00	5.2359877e-04	2.0586795e-04	-5.2803194e-20	-1.1612033e-20	-2.9582284e-24	7.1944115e-22	-4.2598489e-23
2240	1.0440824e+00	5.2359877e-04	2.0484026e-04	4.9073459e-20	4.5640337e-20	-1.0945445e-23	-4.4807299e-21	-5.6482441e-22
2241	1.0445592e+00	5.2359877e-04	2.0382969e-04	-1.6559768e-20	-1.7165613e-20	2.1693675e-23	3.0229150e-21	2.9534952e-21
2242	1.0450360e+00	5.2359877e-04	2.0283576e-04	3.7070152e-20	2.4309538e-20	2.9779499e-23	-7.3521836e-21	-2.5874638e-21
2243	1.0455129e+00	5.2359877e-04	2.0185804e-04	-2.0901659e-20	-2.7875189e-20	-9.2691156e-24	1.1596255e-21	2.9203631e-21
2244	1.0459897e+00	5.2359877e-04	2.0089608e-04	-1.3290729e-20	7.1508663e-20	-1.1044053e-23	-5.6428207e-22	-1.3308083e-21
2245	1.0464666e+00	5.2359877e-04	1.9994948e-04	9.9964454e-21	5.8060163e-21	8.2238749e-23	2.9101079e-21	1.0539182e-21
2246	1.0469434e+00	5.2359877e-04	1.9901783e-04	3.6350711e-20	3.3170023e-20	-9.8607613e-26	-1.8049138e-21	-2.7452360e-21
2247	1.0474202e+00	5.2359877e-04	1.9810074e-04	2.6347954e-21	2.1431773e-20	1.2818990e-23	-1.8317350e-21	-3.9506154e-21
2248	1.0478971e+00	5.2359877e-04	1.9719785e-04	-4.3873288e-20	5.4021195e-20	1.5777218e-23	-3.8740959e-21	-4.2914033e-22
2249	1.0483739e+00	5.2359877e-04	1.9630880e-04	1.2823723e-20	1.0602291e-20	8.2830395e-23	-3.5088533e-21	2.7756071e-21
2250	1.0488507e+00	5.2359877e-04	1.9543323e-04	4.5690824e-21	5.7569491e-20	-1.8538231e-23	-3.4709880e-22	-4.8278287e-22
2251	1.0493276e+00	5.2359877e-04	1.9457082e-04	-1.9437533e-20	2.9787388e-21	-1.0237935e-22	-9.4663309e-23	1.1990686e-22
2252	1.0498044e+00	5.2359877e-04	1.9372123e-04	7.5553942e-20	-1.0097420e-21	4.0429121e-24	-2.0506439e-21	-1.0539182e-21
2253	1.0502812e+00	5.2359877e-04	1.9288417e-04	-5.0487098e-23	5.1193917e-20	4.7528870e-23	2.6505726e-21	2.4754455e-21
2254	1.0507581e+00	5.2359877e-04	1.9205933e-04	-1.3883952e-20	2.7313520e-20	1.2005477e-23	3.0891793e-21	-4.6195695e-21
2255	1.0512349e+00	5.2359877e-04	1.9124641e-04	-2.6997976e-20	3.2210768e-20	2.2876966e-23	1.8333127e-21	-4.2661598e-21
2256	1.0517118e+00	5.2359877e-04	1.9044514e-04	1.6307333e-20	-3.1201027e-20	6.4945439e-23	-1.1548924e-21	-1.8932662e-23
2257	1.0521886e+00	5.2359877e-04	1.8965524e-04	-6.8157582e-20	2.0560871e-20	5.7636150e-23	-4.7962743e-21	2.1488571e-21
2258	1.0526654e+00	5.2359877e-04	1.8887645e-04	6.8410018e-20	-2.5590648e-20	-2.6685685e-23	-1.6597633e-21	-4.1336311e-21
2259	1.0531423e+00	5.2359877e-04	1.8810852e-04	-2.2391028e-20	5.5914461e-20	4.1020767e-23	-2.4296916e-21	2.0668156e-21
2260	1.0536191e+00	5.2359877e-04	1.8735119e-04	-6.1013658e-20	7.2701421e-21	-8.9732928e-24	1.8112246e-21	-8.6348715e-21
2261	1.0540959e+00	5.2359877e-04	1.8660423e-04	4.7003488e-20	-1.5493228e-21	3.4512665e-23	-2.5678409e-21	9.2138954e-22
2262	1.0545728e+00	5.2359877e-04	1.8586740e-04	-4.4024749e-20	2.3325039e-20	-1.7552155e-23	-2.0194839e-21	-1.0439465e-21
2263	1.0550496e+00	5.2359877e-04	1.8514049e-04	-3.4331227e-20	1.3126645e-20	-1.7749370e-24	4.5091289e-21	2.3350283e-22
2264	1.0555265e+00	5.2359877e-04	1.8442327e-04	1.0198394e-20	3.6729364e-21	-5.4628618e-23	-1.5524783e-21	8.6459155e-22
2265	1.0560033e+00	5.2359877e-04	1.8371554e-04	-3.0670912e-21	-2.4158076e-20	2.2679751e-23	-2.9992492e-21	-1.4988357e-21
2266	1.0564801e+00	5.2359877e-04	1.8301708e-04	-2.8323262e-20	4.0137243e-20	-2.8882786e-23	-6.2477784e-22	-3.5648624e-21
2267	1.0569570e+00	5.2359877e-04	1.8232771e-04	-8.0779357e-22	-2.4233807e-20	1.8168453e-23	-1.5461674e-21	3.9506154e-21
